"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Macadamia Nut","Macadamia, various species","diabetes","diabetes¤59% monounsaturated fatty acids","","tropics","","","","FruitVeggy"
"Tea, Black","Camellia Sinensis","sores, sunburn, gingivitis, asthma, diabetes","reduces blood sugar levels (diabetes)¤asthma, emphysema/expectorant¤gingivitis, tooth decay¤diarrhea, relief of gastrointestinal distress¤hepatitis, can help kill herpes virus¤tooth decay¤externally (place spent teabag on sore): canker sore, ¤sores, sunburn","black tea leaves","","contains caffine","none","","Herb"
"Gurmar","Gymnema Sylvestre","diabetes","diabetes, boosts insulin production","","Indian folk remedy","","","","Herb"
"Apple","Malus Domestica","diarrhea","diarrhea","","trees","","none","","FruitVeggy"
"Camu-camu","Myrciaria Dubia","emphysema, source vitamin C","emphysema¤Highest source vitamin C in the world.","fruit","Amazon","","","","FruitVeggy"
"Velvet Bean (Ox-Eye Bean; Mucuna)","Mucuna, various species","erection, aphrodisiac, Parkinson's","aphrodisiac, erection problems¤Parkinson's Disease¤contains L-dopa","","","","","","FruitVeggy"
"Quebracho","Aspidosperma Quebracho-Blanco","aphrodisiac","male aphrodisiac (continas some yohimbine but without the ¤side effects of Yohimbe)¤May also stimulate female sexual desire","","S. America","","don't use w/ high blood pressure","","Herb"
"Wolfberry","Lycium Chinese","male aphrodisiac, anti-aging, eyes","erection problems¤raises testosterone levels; anti-aging properties in men¤Blurred vision, eyesight¤anti-oxidant¤contains carotenoids","a berry","China","","","2oz/day","Herb"
"Ashwaganda","Withania Somnifera","male aphrodisiac, infertility, tonic","male aphrodisiac erection problems, infertility, inpotence¤general tonic: general strengthening, rheumatism, ¤insomnia, mental alertness","","India","use occasionally","","","Herb"
"Country Mallow","Sida Cordifolia","erection, stimulant, sciatica, antiseptic","erection problems¤stimulant, prevents fainting¤Sciatica, nervous system¤Externally: make leaves into a poultice for sores and ¤antiseptic","","","","","","Herb"
"Broomweed (Cuban-Jute)","Sida Rhombifolia","abdominal, eye, stimulant","abdominal organs, bladder, stomach¤eye¤nervous system stimulant, decongestant¤fainting","","Canary Islands","","","Tea: 5tsp dried herb per cup hot water","Herb"
"Soursop","Annona Muricata","fainting","Externally (inhalrf): fainting (used like smelling salts.","leaves of tropical plant","Caribbean","","don't get in eyes","","Herb"
"Meadowsweet","Filipendula Ulmaria","fever, ulcers","fever¤ulcers, heartburn¤¤¤Another source of Salicin","","","","avoid if have Tinnitus","Tea: 1-2 tsp per 1 cup hot water","Herb"
"Henna","Lawsonia Inermis","fungus, bacteria, hair die","anti fungal/bacterial (externally, apply to area 1-3 times ¤per day)¤natural hair dye.","","","simmer 5-7 tsp per cup water for 20 mins.","use externally","","Herb"
"Beggar-lice","Desmodium Styracifolium","kidney stones","kidney stones","vine w/ small loose fruits","China","","","","Herb"
"Java Tea","Orthosiphon Aristatus","kidney stones","kidney stones","","","","","Tea: 3-6 tsp per cup water, once/day","Herb"
"Self-Heal","Prunella Vulgaris","Herpes, hyperthyroidism, AIDS","genital herpes, cold sores,¤Graves' Disease, hyperthyroidism¤anti-oxidant, AIDS","greens","","","none","","Herb"
"Lysine","","herpes, virus","herpes, viral infections","","","","","","Amino Acid"
"Kaffir Potato","Coleus Forskohlii","glaucoma","glaucoma (use as an eyedrop preparation; doctor's ¤supervision recomended)","","","contains forskolin","","","Herb"
"Pansy","Viola, various species","glaucoma, skin","glaucoma¤external (make as tea and apply): acne, eczema, impetigo, ¤skin","flower","","","none","","Herb"
"Chiso","Perilla Frutescens","gout","gout¤XO inhibitor","a weedy mint","orient","add a little to your tea","","","Herb"
"Avocado","Persea Americana","skin, gout, cholesterol, psoriasis, osteoporosis","prevents osteoporosis, source vitamin D & E¤gout, lowers blood uric acid levels¤helps reduce cholesterol¤External (mash and rub): psoriasis, skin problems, ¤arthritis, wrinkles","green fruit of the tree","","","none,high in fat","","FruitVeggy"
"Cat's Claw (Una De Gato)","Uncaria Tomentosa","anti-inflamatory, deep wounds, contraceptive","gout (may take quite a bit to act though)¤anti-inflamatory, swelling, unrinary inflamations¤deep wounds¤post-partum recovery¤contraceptive","bark and root of tree","Amazon, Peru","","none","","Herb"
"Kiwi Fruit","","digestion, vitamin C","has about 3-5 times the vitamin C as an orange¤digestion, heartburn","fuzzy-skinned small fruit","New Zealand, tropics","peel off the fuzz before eating.","none","","FruitVeggy"
"Calamus (Sweet Flag)","Acorus Calamus Americanus","gas, antacid, lice, digestion, liver","antacid, gas-reliever¤kills lice and fleas (powder the root and rub into ¤affected area), insecticide, vermifuge¤excellent for digestion, liver¤gastritis, dyspepsia, flatulent colic","","","","European version contains cis-isoasarone","","Herb"
"Grape Seed Juice","Vitis Vinifera","heart, cholesterol, wrinkles","heart attack prevention, protect from LDL cholesterol¤contains AHAs¤wrinkles (mash grapes and apply as facial mask, rinse ¤after 15-30 mins)","","","","none","","FruitVeggy"
"Pear","Pyrus, various species","immune stimulant, HIV, antiviral","immune stimulant, HIV¤shingles¤antiviral","","","","none","","FruitVeggy"
"Iceland Moss","Cetraria Islandica","HIV","HIV (as effective as AZT but non-toxic)","","Iceland","","none","","Herb"
"Legume nodules","","iron, HIV","best vegtable source of heme iron¤Boosts anti-HIV activity of AZT","nodules along legume roots","","uproot a bean plant and use the small root nodules","too many and you might iron overload","","FruitVeggy"
"Royal Jelly","","protein, vitamins, amino acids, energy","contains 13 vitamins, 7 minerals, 22 amino acids¤protein source¤energy source","","bees","","none","","Animal"
"Rooibos","Aspalanthus linearis","digestion, colic, insomnia, nerves","gentle stomach soother, indigestion, improve appetite¤infant colic¤insomnia, nervous tension","shrubby legume","South Africa","best used as a tea","none","","Herb"
"Cangzhu","Atractylodes Lancea","infertility","male infertility","","China","found in Chinese herbal formulas for infertility","consult Chinese herbalist for dosage","","Herb"
"Jute","Corchorus Olitorius","fertility, folic acid","female infertility¤source folate(folic acid)¤prevents spinal bifida (good to take during pregnancy and ¤delivery)","","","","none","","FruitVeggy"
"Arginine","","fertility","male fertility (low sperm count)","","","found in buts, seeds, chives, carob","","","Amino Acid"
"Bottle Gourd","Lagenaria Siceraria","infertility, liver","infertility¤liver damage, liver cancer¤best source choline","fruits of white flowered vine","","eat like squash","none","","FruitVeggy"
"Chocolate","Theobroma Cacao","mood booster, aphrodisiac","pain reliever, mood booster¤aphodisiac¤asthma","","","contains caffeine","","","Other"
"Cola","Cola Nitida","aphrodisiac","sexual stimulant¤asthma","","","contains caffeine","","","Herb"
"Epimedium (Yin-Yang)","Epimedium, various species","aphrodisiac","male/female sexual stimulant for androgen deficient","narrow heart-shaped leaves","","","","Tea: 1-5 tsp per cup water, once/day max","Herb"
"Citronella","Cymbopogon, various species","insect repellent","insect & mosquito reprellent","lemon-scented plant","Asia","often sold in candles, it's smoke's the repellent","","","Herb"
"Sweet Annie(Qing Hao,Sweet Wormwood","Artemisia Annua","intestinal parasites","intestinal amoebas¤anti-malaria","","China","","use cautiously, exact dose uncertain","Tea: 2-5 tsp per cup water","Herb"
"Neem","Azadirachta Indica","lice, insects, scabies, teeth, gums, skin, leprosy","lice, insect pests¤scabies¤green twigs used as toothbrushes; gum-protecting, ¤anti-bacterial¤Oil From seeds: leprosy, skin diseases¤Leaves: in poultices to treat wounds¤Bark: fever, nausea, vomiting, skin diseases","large oak-like tree","India","use externally; use the leaves","","","Herb"
"Almond, Indian","Terminalia Catappa","liver","liver","tropics","","","","","Herb"
"Wu Wei zi (Magnolia Vine)","Schizandra Chinensis (or Schisandra Chinensis)","liver, organs, memory, metabolism, respiratrory","*strong liver protecting properties*¤hepatitis¤stimulate gastro-intestinal tract, immune and nervous ¤systems, kidneys and adrenals, and general metabolism¤improve memory, reflexes, concentration, mental fatigue, ¤insomnia¤respiratory, energy booster (increases efficiency of ¤Oxygem use), chronic viral infections¤Modulates blood sugar in diabetics (works well with ¤Bilberry)¤eyesight¤aphrodisiac¤Long term effects: increased metabolic activity, ¤detoxified liver, increased stress and disease ","berries of a vine","China, Korea, Japan","Also called: O Mi Cha, Schizandra","none; it's an adaptogen and aphrodisiac","tea: 2-4 berries in 2cups boiling water for 12mins","Herb"
"Javanese Turmeric","Curcuma Xanthorrhiza","Liver, jaundice, gall stones","very good for liver¤gallstones, jaundice","yellow root","S. Asia, Indonesia","","","","Herb"
"Cabbage (cooked,raw,or juiced)","Brassica Oleracea","stomach","prevents osteoporosis¤stomach, morning sickness, ulcers¤asthma","leafy","","","","","FruitVeggy"
"Black Pepper","Piper Nigrum","osteoporosis, high blood pressure","osteoporosis¤high blood pressure","","","a spice","none","","Herb"
"Baikal Skullcap","Scutellaria Baicalensis","pneumonia, shingles","pneumonia, flu¤broad-spectrum antimicrobial¤shingles (use powdered & mix w/ water)","root of the plant","China","similar to normal Skullcap","","","Vitamin"
"Lomatium (Cough Root)","Lomatium Dissectum","respiratory, veneral disease","all respiratory ailments; pneumonia, TB, bronchitis, ¤asthma, hay fever¤rheumatism¤wounds¤","looks like dill or parsley","W. North America","used by American Indians","","","Herb"
"Partridge Berry","Mitchella Repens","pregnancy, delivery","eases pregnancy and delivery","","North America","take 2-3 weeks prior to delivery","","","Herb"
"Bishop's Weed (Laceflower, Visnaga)","Ammi Visnaga, Ammi Majus","psoriasis, skin disease","psoriasis and skin diseases (rub externally)¤angina pectoris, muscle spasm, gastrointestinal cramp, ¤colic, painful menstruation, bronchial asthma¤¤shows promise in cancer and AIDS therapy","white umbel flowers","Egypt","also called: Honeyplant","if irritates skin, discontinue use","","Herb"
"Oregon Grape","Mahonia Aquifolia","skin, blood, antibiotic","The yellow bark: antioxidant¤Roots: blood purifying, antibiotic, constipation, ¤rheumatism, skin diseases (acne, psoriasis, etc.)","evergreen shrub with yellow bark","NW USA, British Columbia","","none","take as a tea or tincture","Herb"
"Indian Snakeroot","Rauwolfia Serpentina","Raynaud's Disease, ciculation","Raynaud's Disease, circulation¤tranquilizer","","India","","","","Herb"
"Hayseed","a mixture of grass seeds, especially Anthoxanthon Odoratum","sciatica, back and joint pains","sciatica, soothes painful back, joints, and muscles","various grass seeds","","add in to bath","","","Herb"
"Sciatica Cress (Pepper Grass)","Lepidium, various species","pain, sciatica","External: pain, sciatica","","South USA","","","","Herb"
"Dragon's Blood (sangregrado)","Croton Lechleri","sores, anti-viral","anti-viral¤sores, wounds, cuts","","Amazon","use externally","","","Herb"
"English Pea","Pisum Sativum","stroke","anti-clotting, stroke prevention","","","","none","","FruitVeggy"
"Scurfy Pea","Psoralea Corylifolia","stroke, estrogen protection","stroke prevention¤protect woman's body from harmful estrogens","","","","none","","FruitVeggy"
"Nightshade, Black","Solanum Nigrum","sunburn","sunburn (crush leaves, stir into heavy cream, and apply to ¤burn)","","","","","","Herb"
"Eggplant","Solanum Melongena","sunburn","sunburn (mash and apply)¤asthma","","","","","","FruitVeggy"
"Spanish Needles","Bidens Pilosa","swelling, inflamation","anti-inflamatory, anti-edemic¤swelling","","","","","","Herb"
"Periwinkle, Lesser","Vinca Minor","tinnitus, Meniere's Syndrome","tinnitus¤Meniere's Syndrome","","","","ask a physician first","20 milligrams, 3Xs/day","Herb"
"Stevia","Stevia Rebaudiana","tooth decay, sugar substitute","decreases cavities if used as sugar substitute¤use as sugar substitute if have yeast infections","sweet herb","Paraguay","non-sugar sweatener","","","Herb"
"Toothache Tree","Zanthoxylum Americanum","teeth","toothache¤prevent tooth decay","","","chew the bark, or make tea out of berries","","","Herb"
"Yellowroot","Xanthorrhiza Simplicissima","ulcer","helps quit smoking (chew it)¤ulcers (1tsp 1-2Xs/day in juice)","","","","","","Herb"
"Banana","Musa Paradisiaca","ulcer, warts","ulcers¤warts (rub inner part of banana peel on wart 2-4 times per ¤day)","","","source potassium","none","","FruitVeggy"
"Spicebush","Lindera Benzoin","yeast infections","yeast infections","bark of the plant","","take as a tea","","","Herb"
"Wormseed (Epazote)","Chenopodium Ambrosioides","worms, amenorrhea","Amenorrhea¤worms","","","","","","Herb"
"Lac-Hydrin","","skin, wrinkles","skin, wrinkles","an AHA found in fruits","","found in fruit, sore milk, sugar cane","","","Other"
"Achyranthes (Oxknee, Niu Xi)","Achyranthes Bidentata","kidney, liver, pain, urethra","kidney, liver¤drains 'dampness'¤promote circulation¤difficult urination, painful urethritis, suppressed ¤menstruation¤Traumatic injuries¤Stiffness and pain of lower back and loins¤Weakness in legs and feet","","China","","do not use during pregnancy","","Herb"
"Adonis","Adonis Aestivalis","heart","Cardiac stimulant like digitalis but much stronger","","","","same warnings as for Digitalis","","Herb"
"Agrimony, Chinese (Xian He)","Agrimonia Pilosa","parasites, bleeding","parasites (including taenia, malaria plasmodia, ¤schistosomomas, vaginal trichomonas)¤stops bleeding and prevents infection","","China","","","","Herb"
"Agrimony, Hemp","Eupatorium Cannabinum","liver, blood","liver, blood purifier","","","","","","Herb"
"Ajmud","Carum Roxburgianum","gas, bowel, asthma","relieve gas, bowel pain¤dyspepsia, bronchitis, asthma","seeds of herb","India","used as a spice in curries","","","Herb"
"Ajowan","Carum Copticum","sore throat, cough","sore throat, bronchitis, cough","","India","used as a spice in curries and others","none","","Herb"
"Arnica, American","Arnica Chamissonis","bruises, burns, inflamation, disinfectant, sports","applied directly to bruises, burns, inflamations¤disinfectant","","America","same as European one but grows in alkaline soil","do NOT take internally- poisonous","","Herb"
"Asparagus, Chinese","Asparagus Cochinchinensis, A. Lucidus","lungs, throat","tuberculosis, bronchitis, dry cough, dry throat¤diabetes¤breast cancer","a hanging herb","China","Also Called: Tien Men Dong","","","Herb"
"Asterm New England","Aster Novae-Angliae","fever, pain, catarrh","fever¤catarrh¤pain¤used by the Iroquois as 'love medicine' and to smudge on ¤unconscious to revive","deep violet flowers","North America","","","","Herb"
"Aztec Sweret Herb","Lippia Dulcis","coughs, lungs, colic","coughs, colds, bronchitis, asthma, colic","low creeper, white flowers","Mexico","","","","Herb"
"Baby's Breath, Manchurian","Gypsophila Oldhamiana","lungs, jaundice, rheumatism, typhoid fever","jaundice, lung disease, rheumatism, typhoid fever¤chronic low-grade fever","root of pink flowers","China","Also called: Yin-Chai-Hu","","","Herb"
"Bai Zhi","Angelica Dahurica","toothache, headache, wounds","toothache, headache¤externally for mastitis, infected wounds¤Antipyretic, analgesic, antibacterial","","China","","","","Herb"
"Bai Zhu","Atractylodes Macrocephala","spleen, diarrhea, fatigue","strengthening of spleen and Chi¤diarrhea, fatigue, lack of appetite, vomiting relating to ¤deficiencies of speel or stomach","rhizomes of purple flower","","","","","Herb"
"Balsam (Tou Gu)","Impatiens Balsamina","throat","used to cleatr obstructions in throat","flowers of herb","China","mixed with alum to paint fingernails","","","Herb"
"Ban Xia","Piniella Ternata","dampness, phlegm, vomiting, energy flow","combat conditions involving dampness and phlegm¤control vomiting¤energy flow","Tuber","China","","contains Ephedrine","","Herb"
"Basil, West African","Ocimum  Viride, Ocimum Gratissimum","diarrhea, insect repelent, gargle, wounds","diarrhea¤repels insects¤leaf oil is antiseptic¤gargle (contains thymol), dressing for wounds¤treatment for conjunctivitis","","Africa","In Ghana is called Adefetue","","","Herb"
"Basil, Wild","Clinopodium Vulgare","stomach","helps overcome stomach weakness","","","can be used as a tea","none","","Herb"
"Bdellium (Gum Bdellium)","Commiphora Africana","stomach, colds, carminative","stomach¤carminative¤colds","","","closely related to myrrh and frankincense","","","Herb"
"Beardtongue","Penstemon Barbatus","menstrual, stomachache, wounds, coughs","menstrual pain, stomachache¤wounds, swellings, coughs","flowers","Navajo Indians","","","","Herb"
"Bedstraw, Yellow (Lady's)","Galium Verum","bladder, kidney","bladder, kidney","tops and roots of flowers","","also called: cheese rennet","can curdle milk","","Herb"
"Bethroot (Birthroot)","Trillium Erectum","menstrual, labor, aphrodisiac, bowels, lungs","Menstrual problems, induce labor, menopause¤aphrodisiac¤coughs, bowel complaints, hemorrhages, asthma, lung ¤disorders¤skin irritation","root from red flower","","also called: Red Trillium, Wakerobin","","use as a tea","Herb"
"Bloodflower","Aclepias Curassavica","heart, vomiting, worms","induce vomiting, expel worms¤digitalis-like action on heart","orange crimson flower","","","affects the heart, induces vomiting","","Herb"
"Broom, Dyer's","Genista, Tinctoria","gout, rheumatism","gout, rheumatism","","","also used to dye wool bright yellow","","","Herb"
"Broom, Spanish","Spartium Junceum","anti-arrhythmiac, dropsy","cardiac arrhythmia¤dropsy¤bladder and kidney diseases","","Mediterranean, California","5-6 times more potent than Scotch Broom","don't use with MAO inhibitors","","Herb"
"Burnet, Salad","Poterium Sanguisorba","skin","improves skin in facial treatments","leaves of plant","","used in salads, dressings, and soups","none","","Herb"
"Butterfly-Pea","Clitoria Ternatea","purgative, diuretic, cathartic","seeds and roots: Purgative¤Roots: cathartic, diuretic","vine with blue flowers","","","","","Herb"
"Candytuft, Bitter","Iberis Amara","lungs, gout, rheumatism, dropsy","gout, rheumatism¤asthma, bronchitis¤dropsy","","","used in homeopathy","","","Herb"
"Cat Thyme","Teucrium Marum","gallbladder, stomach","nervous gallbladder¤stomach","leaves of herb","","cats love it","","","Herb"
"Catnip, Japanese (Jing Jie)","Schizonepeta Tenuifolia","cold, throat, headache, antibacterial","common cold, chills, sore throat¤headache¤helps to lower temperature and promote sweating¤antibacterial","","China","","","","Herb"
"Catsfoot","Antennaria Dioica","appetite","improves appetite¤stimulates bile flow, gastric juices, and pancreatic ¤secretions","wooly rosettes like cat's foot","","","","","Herb"
"Cedar","Thuja Occidentalis","skin, muscles, menstruation, headache","Externally: skin conditions and muscular aches¤Internally: promotes menstruation and relives headaches","","America","","may cause miscarriage in pregnant women","","Herb"
"Centaury","Centaurium Erythaea","appetite, digestion","lack of appetite, sluggish digestion, stomach disturbances¤useful during convalescence","","Europe","","","","Herb"
"Chinaberry (Bead Tree)","Melia Azedarach","emetic, worms","Emetic¤expel worms","bark of tree","China, India","","","","Herb"
"Cinquefoil","Potentilla Recta","diarrhea, burns","diarrhea¤soothing to burns¤Rich in tannin","rhizomes of flowers","","","","","Herb"
"Clary (Clary Sage)","Salvia Sclarea","eye bath","seeds soaked in water make mucilaginous eye bath to safely ¤remove particles","","","also called: clear eye","","","Herb"
"Clary, Meadow (Meadow Sage)","Salvia Pratensis","eye bath","seeds soaked in water used as mucilaginous eye bath to ¤safely remove particles","large bright blue flowers","","","","","Herb"
"Clary, White Turkestan","Salvia Sclarea Turkestanica Alba","eye wash","water-soaked seeds used as mucilaginous eye bath to safely ¤remove particles","white flowers","","","","","Herb"
"Cnidium (She Chuang)","Cnidium monnieri","aphrodisiac, scabies, vaginal wash, fungus","stimulant¤aphrodisiac, impotence¤vaginal wash against trichomoniais¤scabies, fungal diseases","","China","","","","Herb"
"Cocklebur (Burweed)","Xanthium Strumarium","sedative, diuretic, malaria, urinary","sedative, diuretic¤sweat-inducing¤good against chronic malaria and urinary problems¤Roots: cancer","","","","","","Herb"
"Cocklebur, Siberian (Cang Er)","Xanthium Sibiricum","headache, pain, dampness","headache, dampness¤pain of the extremities, sciatic neuralgia, ezcema, itching","","China","","may be toxic if improperly used","","Herb"
"Cockscomb","Celosia Cristata (Childsii)","bleeding, diarrhea, vision","stops hemorrhages and diarrhea¤clears vision","red crested flower","China","","","","Herb"
"Codonopsis (Dang Shen)","Codonopsis pilosula","blood, anemia, breathing","similar in action to Ginseng¤Boosts red blood cell and hemoglobin counts, anemia¤fatigue, shallow and strained breathing","violet-green bell flower","China","","","","Herb"
"Columbine","Aquilegia Vulgaris","sores, urinary, liver","running sores¤unrinary, liver problems","exotic drooping flowers","","use under medical supervision","narcotic properties","","Herb"
"Coneflower, Yellow","Ratibida Columnifera","chest pain, wounds, fever, poison ivy","chest pains¤wounds, fevers¤poison ivy treatment","daisy-like flowers","North America","","","","Herb"
"Cornflower","Centaurea Cyanus","nerves, eyes","Curative and calming action for nervous disorders¤eyewash strengthens eyes","brilliant blue blossoms","","","","infuse in water","Herb"
"Costus","Costus Speciosus","steroidal compounds","Source of the starting material for manufacture of many ¤steroidal compounds, including prednisone, testosterone, ¤oral contraceptives, and many others.","","","very rare, hard to germinate","","","Herb"
"Cowslip","Primula Veris","pain, inssomnia","remedy for pain and insomnia","","","","","use as a tea","Herb"
"Crampbark","Viburnum Opulus","sedative, spasms, cramp, nerves","sedative¤nervous complaints, cramps, spasms, convulsions","bark of plant","","","","","Herb"
"Crown Vetch","Coronilla Varia","heart, prostate","heart disorder¤prostate","ground cover","","","use with medical supervision","","Herb"
"Cucumber, Chinese","Trichosanthes Kirilowii","HIV, angina, phlegm, abortions","HIV¤angina pectoris¤reduce phlegm¤induce abortions","","","also called: Gua Lou, Tien Hua Fen, Snake Gourd","","","Herb"
"Daisy, English","Bellis Perennis","laxative, stomach/intestinal, swellings, burns","gentle laxative¤stomach and intestinal problems¤inflamed swellings and burns","button flowers","","","","","Herb"
"Daisy, Ox-Eye","Chrysanthemum Leucanthemum","lungs, nervousness","chronic cough, asthma, nervousness","wildflower","","","","","Herb"
"Dead-Nettle, Purple","Lamium Purpureum","hemorrhages, chills","stops hemorrhages¤as a tea: useful vs chills; acts on kidneys and induces ¤sweating","","","also called: Purple Archangel","","","Herb"
"Devil's Club","Oplopanax Horridus","indigestion, rheumatism, sores, blood","indigestion, stomach pains, bowel cramps¤rheumatism¤sores, swellings¤tonic, blood purifier","roots and barks","North America","","","","Herb"
"Indian Dill (Surva)","Anethum Sowa","gas, stomach","gas, flatulence¤stomach¤stimulant","fruit of the foliage","India, Japan","","","","Herb"
"Dock, Broadleaf","Rumex Obtusifolius","blood, jaundice, contraceptive","blood purifier¤tonic¤jaundice¤contraceptive","","North America","","","","Herb"
"Dropwort","Filipendula Vulgaris, F. Hexapetala","kidney, respiratory","kidney infections¤respiratory","powdered root","","","","","Herb"
"Dusty Miller","Senecio Cineraria","cataracts","eye cataracts (drop juice into eye)","silver-white foliage","","","","1-2 drops of juice","Herb"
"Eclipta (Mo-Han-Lian)","Eclipta Alba, E. Prostrata","hair, scalp, dizziness, liver, kidney","liver, kidney¤diziness, blurry vision, headache¤premature greying of hair¤astringent hemostatic¤¤External extract applied to scalp promotes hair growth¤Taken internally blackens hair, beard, and eyebrows¤","","China","","","","Herb"
"Ephedra (Mormon Tea)","Ephedra Nevadensis","stimulant, kidney, asthma","nerve stimulant¤kidney¤relieves asthma¤tonic","","SW USA","excellent substitute for tea or coffee","contains traces of ephedrine","","Herb"
"Ephedra, Green (Jointfir)","Ephedra Viridis","nervous system, stimulant, urinary, venereal, cold","potent central nervous system stimulant¤colds, headache¤urinary and venereal diseases","","","also called: Mormon Tea, Desert Tea","has some ephedrine & pseudoephedrine","","Herb"
"Eucommia (Dz Zhong)","Eucommia Ulmoides","blood presure, liver,kidney, diuretic, miscarriage","mild but long-lasting high blood pressure remedy¤liver and kidney tonic¤diuretic¤prevents miscarriage","bark of tree","","aldso called: Chinese Rubber Tress","","","Herb"
"Everlasting","Helichrysum Arenarium","dyspepsia","dyspeptic disorders","yellow wildflower","Europe","","","","Herb"
"Fennel, Seweet","Foeniculum Vulgare Dulce","digestion, calming, flatulence","improves digestibility of food it's added to¤as a tea: calming, anti-flatulent","","","","none","","Herb"
"Flag, Licorice","Acorus Gramineus 'Licorice'","appetite, gastritis, depression","lack of appetite, gastritis, depression","","China","used in Thai cooking","none","","Herb"
"Flax, Omega","Linum Usitatissimum 'Omega'","cholesterol","high concentration of omega-3 oil (linolenic acid)¤reduces cholesterol","seeds","","","none","","Herb"
"Flax, Blue","Linum Perenne","rheumatism, diarrhea, cough","rhematism¤diarrhea¤coughs","","","contains linseed oil","none","","Herb"
"Gardenia(Cape Jasmine, Zhi Zi)","Gardenia Jasminoides","fever, blood, sprains, insomnia","fever¤high blood pressure, hepatitis¤insomnia¤sprains, swellings, bruises","flowering evergreen shrub","","","","","Herb"
"Germander","Teucrium Chamaedrys","stomach, appetite","quiets upset stomach, promotes appetite¤gout","glossy dark green leaves, rosey flowers","","","","take as an infusion","Herb"
"Ginger, Wild","Asarum Canadense","digestion, cough, fever, throat","indigestion¤coughs, fever, sore throat¤flatulence¤nervous conditions¤anti-tumor (contains aristolochic acid)","similar to true ginger","North America","","none","","Herb"
"Good King Henry","Chenopodium Bonus-Henricus","digestion","indigestion","","","shoots eaten like asparagus, leaves like spinach","","none","Herb"
"Gourd, Snake (Serpent Gourd)","Trichosanthes, Anguina","worms, diarrhea, syphilis","expel worms¤diarrhea, syphilis","roots and seeds of cucumber-like fruit","India, Orient","grown as a vegetable","","none","Herb"
"Goutweed, Variegated","Aegopodium Podograria "Variegata"","gout, anti-inflamatory, diuretic, sedative","sedative¤diuretic, anti-inflammatory¤gout, sciatic, arthritis, rheumatism","white-variegated ground cover","","","","","Herb"
"Greek Mountain Tea (Ironwort)","Sideritis Syriaca","anti-inflammatory, common cold","common cold¤anti-inflammatory, anti-arthritic, anti-microbial","","Greece","","","none","Herb"
"Griffonia","Griffonia Simplicifolia","depression, obessive-compulsive, stomache","anti-depresion¤insomnia, obesity, jet lag, anxiety, fibromyalgia¤obsesive-compulsive behavior¤antibiotic, aphrodisiac, diarrhea, vomiting, stomache ache","seeds of herb","Africa","source of the amino acid 5-HTP, serotonin","","","Herb"
"Gromwell","Lithospermum Officinale","spasms, abscesses, burns, eczema","spasms¤external emolient for eczema, abscesses, burns","yellowish-white flowers","","","","","Herb"
"Gumplant","Grindelia Robusta","nasal, colds, burns, rashes, poison ivy","colds, coughs, nasal congestion, bronchial irritations¤healing wash for burns, rashes, blisters, poison ivy","","","","","","Herb"
"Hawkweed, Mouse-Ear","Hierarcium Pilosella","astringent, respiratory, kidneys, flu, diarrhea","astringent, expectorant, diuretic¤respiratory, flu, inflamed kidneys, diarrhea","ground plant with lemon-yelolow flowers","Europe","","","","Herb"
"Heartseed (Kanphuti, Balloon Vine)","Cardiospermum Halicacabum","stiff limbs, lumbago, laxative, earache","Leaves mixed with castor oil: stiff limbs, rheumatism, ¤lumbago¤¤root: diaphoretic, diuretic, laxative¤¤Leaf Juice:  earache","climbing vine","India","cooked and eaten in India","","","Herb"
"Hemlock, Poison","Conium Maculatum","nervous motor conditions, insecticide","sedative for nervous motor conditions¤insecticide vs aphids and blowflies","","","","","deadly poisonous; use carefully","Herb"
"Henbane","Hyoscyamus Niger","ssedative, pain, sleep","cerebral and spinal sedative, induces sleep, allay pains","","","","can induce convulsions","","Herb"
"Hollyhock","Alcea rosea","oral inflammations","as a gargle: soothes oral inflammations","tall majestic flower spikes","","","","dried flower made into a tea","Herb"
"Hollyhock, Black","Alcea Rosea Nigra","mucous membranes","soothes irritated mucous membranes","black-purple flowers","","","","dried flowers made into a tea","Herb"
"Hops, Japanese (Lucao)","Humulus Japonicus, Humulus Scandens","antibacterial, malaria, diuretic, colds","genito-urinary system¤TB, diptheria, typhoid, staphylococci¤anti-bacterial for infections, cystitus, mastitis, ¤tonsillitis¤diuretic, cough, colds, malaria, dysentery¤premature ejactulation","fast-growing vine","China, Japan","","","","Herb"
"Horehound, Black(Stinking Horehound","Ballota Nigra","nausea, anti-spasmodic, uterus, expectorant","controls nausea, vomiting, motion sickness, morning ¤sickness¤Stimulates uterus¤antispasmoic¤expectorant","","","","","","Herb"
"Houndstongue","Cynoglossum Officinale","coughs, diarrhea, dysentery, bites, burns, piles","leaf and root: astringent, infusion for coughs, colds, ¤diarrhea, dysentery¤leaf poltice: insect bites, burns, bruises, piles","leaf and root of plant","","contains potentially carcinogenic alkaloids","not for prolonged internal use","","Herb"
"Hyacinth Bean (Lablab)","Lablab Purpureus, Dolichos Lablab","dysentery, bloody stools","tonic, dysentery, bloody stools, summer heat disorders","legume vine, purple-veined leaves","India","most parts of it are edible","","","Herb"
"Hyssop, Hedge","Gratiola Officinalis","eczema, scrofula, jaundice, dropsy","chronic eczema, scrofula, jaundice, dropsy¤","","","use with medical supervision","violent prugative","","Herb"
